TransactionID,Component
eBay_AMD A10-7890K Quad-core CPU (4 Core) 4.10GHz CPU Processor,['CPU']
eBay_AMD EPYC 9755 QS CPU ZEN5 TURIN SP5 128 Cores 256 Threads 2.7GHz Processors,['CPU']
eBay_AMD RYZEN 7 9800X3D 8-Core 16-Thread Desktop Processor AM5 4.70GHz IN-HAND,['CPU']
eBay_AMD Ryzen 5 5500 6-Core 3.6GHz Socket AM4 65W CPU Desktop Processor,['CPU']
eBay_AMD Ryzen 5 7600 - 6-Core 3.8GHz Socket AM5 65W AMD Radeon CPU Processor,['CPU']
eBay_AMD Ryzen 5 7600X R5-7600X 4.7 GHz 6-Core 12-Thr 105W Socket AM5(100-000000593),['CPU']
eBay_AMD Ryzen 7 5700X R7-5700X 8-Core 16Thr 3.4GHz 65W Socket AM4 Support B450 A320,['CPU']
eBay_AMD Ryzen 7 5700X3D 3.0 GHz 8-core AM4 96MB cache CPU processor,['CPU']
eBay_AMD Ryzen 7 5700X3D 3.0GHz 8 Core CPU 105W Socket AM4 Support B450 B350 X370,['CPU']
eBay_AMD Ryzen 7 5700X3D 8-Core 16-Thread 4.1GHz Socket AM4 CPU,['CPU']
eBay_AMD Ryzen 7 5700X3D 8-Core 16-Thread 4.1GHz Socket AM4 Desktop Gaming CPU,['CPU']
eBay_AMD Ryzen 7 5700X3D 8-Core 16-Thread AM4 105W CPU Processor 100-100001503WOF,['CPU']
eBay_AMD Ryzen 7 5800X3D 8-core 16-thread 3.4-4.5Ghz 3-level cache 96MB CPU processor,['CPU']
"eBay_AMD Ryzen 7 7700 Processor CPU (Up to 5.3 GHz 8 Cores, LGA 1718/Socket AM5)",['CPU']
eBay_AMD Ryzen Threadripper Pro 3945WX 12-Core 4.0GHz sWRX8 Processor - Unlocked,['CPU']
eBay_INTEL CORE i7-7700K 4.20GHz CPU QUAD CORE Processor SR33A *km,['CPU']
eBay_Intel 3rd Gen Core i7-3770 SR0PK 3.40GHz (Turbo 3.90GHz) 4-Core 8M LGA-1155 CPU,['CPU']
eBay_Intel 4th Gen Core i7-4790 SR1QF 3.60GHz (Turbo 4.00GHz) 8M 4-Core LGA-1150 CPU,['CPU']
eBay_Intel Core 14th Gen i5-14500T 1.7 GHz up to 4.8GHz 14-core 24 MB cache,['CPU']
eBay_Intel Core 2 Duo T9300 (FF80576GG0606M) SLAYY SLAQG CPU 800/2.5 GHz,['CPU']
eBay_Intel Core 2 Duo T9500 2.6 GHz Dual-Core 6M 800 Processor Socket P /965 TOP CPU,['CPU']
eBay_Intel Core 2 Duo T9900 3.06GHz Dual-Core cpu Processor,['CPU']
eBay_Intel Core 2 Extreme QX9300 Mobile SLB5J 2.53GHzProcessor -CPU,['CPU']
eBay_Intel Core 2 Quad Q9000 CPU SLGEJ 2.0GHz-6M-1066MHz Socket P Laptops Processor,['CPU']
eBay_Intel Core I7 12700 ES QXQ4 8+4 12 Cores 20 Threads LGA 1700 CPU Processor,['CPU']
eBay_Intel Core I7-7700K 4.20GHz Quad-Core Desktop CPU Processor LGA1151 SR33A,['CPU']
eBay_Intel Core Ultra 5 Desktop Processor 245K - 14 cores (6 P-cores + 8 E-cores) and,['CPU']
eBay_Intel Core Ultra 7 Desktop Processor 265K - 20 cores (8 P-cores + 12 E-cores) an,['CPU']
eBay_Intel Core Ultra 9 Desktop Processor 285K - 24 cores (8 P-cores + 16 E-cores) an,['CPU']
eBay_Intel Core i3-12100F LGA 1700 quad-core 3.30GHz desktop CPU processor i3 12100f,['CPU']
"eBay_Intel Core i5 Unlocked Processor, 13600K 13th Gen LGA1700",['CPU']
eBay_Intel Core i5-10600KF 6 Cores 4.1 GHz LGA 1200 CPU Processor BX8070110600KF,['CPU']
eBay_Intel Core i5-12400F 12th Gen Alder Lake 18MB Cache up to 4.40 GHz BX8071512400F,['CPU']
"eBay_Intel Core i5-14400, 10-Core / 16-Thread 65W CPU with iGPU - LGA1700",['CPU']
eBay_Intel Core i5-7500 SR335 3.40GHz Processor | Grade A,['CPU']
eBay_Intel Core i5-9600K 6-Core Processor (SRG11),['CPU']
eBay_Intel Core i7-12700KF Unlocked Desktop Processor - 12 Cores And 20 Threads,['CPU']
eBay_Intel Core i7-14700F DESKTOP processor TURBO Boost 5.40Ghz SRN3Z CM8071504820816,['CPU']
eBay_Intel Core i7-14700K Unlocked Desktop Processor - Up to 5.6 GHz max clock speed,['CPU']
eBay_Intel Core i7-3770K 3.5GHz Quad-Core SR0PL LGA1155 CPU Processor,['CPU']
eBay_Intel Core i7-620M 2.66GHz 4M Dual Core Processor SLBPD CPU Socket G1 For Laptop,['CPU']
eBay_Intel Xeon E5-2680 V4 Server CPU Processor 2.40GHz 14 core 28 threads LGA 2011-3,['CPU']
eBay_Intel Xeon E5-2697 v2 2.7GHz 30M 12-Core LGA2011 CPU Processor SR19H,['CPU']
eBay_Intel Xeon E5-2698v4 SR2JW 2.2GHz 20-Cores 50MB 135W LGA2011-3 CPU Processor,['CPU']
eBay_Intel Xeon E5-2699 V4 2.2GHz 55MB 22 Core 9.6GT/s 145W CPU Processor SR2JS,['CPU']
eBay_Intel Xeon E7-8880 v4 SR2S7 2.20GHz 55MB 22-Core LGA2011 CPU Processor,['CPU']
eBay_Intel Xeon Gold 6240 2.60GHz (SRF8X) J947J315,['CPU']
eBay_Intel Xeon Platinum 8461V ES Server CPU LGA4677 48Cores 3.5GHz Processor,['CPU']
eBay_Intel core i7-990X SLBVZ 3.46GHz 6 Core Extreme Edition AT80613005931AA,['CPU']
eBay_Intel(R) CC150 CPU 8C/16T 3.50GHz Support H310/B365/H370/Z370/Z390/Q370/C246,['CPU']
eBay_LGA1366 Intel Xeon X5690 CPU Processor 3.46GHz 6 Core 6.4G 12MB 1333GHz Tested,['CPU']
eBay_Matched Pair Intel Xeon X5690 3.46GHz 12MB 6.4GT/s 6 Core 1333GHz SLBVX CPU,['CPU']
eBay_Matched Pair Intel Xeon X5690 SLBVX 3.46GHZ 12MB LGA 1366 6-Core CPU Processors,['CPU']
"eBay_Open Box Intel Core i5-13600KF Processor (5.1 GHz, 14 Cores, LGA 1700) SRMBE",['CPU']
eBay_[New System Pull] Intel Core i3 i3-14100T 2.7 GHz 4 cores 8 threads 12 MB cache,['CPU']
eBay_💥💯💥AMD Ryzen Threadripper Pro 7955WX 16C 4.5GHz sTR5 CPU Locked 100-000000886,['CPU']
