CPU Model,Popularity,eBay Listing,Price
Intel i9,19,Intel Core I9-12900kf Gaming Desktop Processor 16 (8p+8e) Cores Up To 5.2 Ghz,268.99
Intel i9,19,Intel® Core™ I9-10900f Desktop Processor For 10 Cores Up To 5.2ghz Unlocked,259.99
Intel i9,19,"Intel Core i9-10920X X-Series Processor, 3.5 GHz, 12-Core",350.0
Intel i9,19,Intel Core i9-14900KF 3.2GHz 24-Cores LGA 1700 CPU Processor BX8071514900KF,315.0
Intel i9,19,"Intel Core i9-13900KF, 24 Core 32 Thread, 125W Desktop Processor, LGA1700",299.94
Intel i9,19,Intel Core i9-14900KF Unlocked Desktop Processor,439.0
Intel i9,19,Intel Core i9-14900KF Unlocked Desktop Processor - Up to 6.0 GHz max clock speed,439.0
Intel i9,19,Intel Core i9-11900 ES qvye 16mb 1.8-4.0 GHz 8 cores 65w lga-1200 CPU processor,109.0
Intel i9,19,Intel Core i9-12900K Desktop Processor 16 (8P+8E) Cores 5.2 GHz BX8071512900K,289.89
Intel i9,19,Intel CM8071504820403 SRMB5 Core i9-13900T Processor 36M Cache NEW TRAY CPU,420.0
Intel i9,19,NEW LISTINGIntel Core i9-14900KS 3.2GHz LGA-1700 CPU Processor (BX8071514900KS) Brand New!,569.99
Intel i9,19,Intel Core i9-14900K Unlocked Desktop Processor,495.6
Intel i9,19,Intel Core I9-10900f Desktop Processor 10 Cores Up To 5.2 Ghz Without Processor,232.99
Intel i9,19,"Intel Core i9-13900KF Processor (5.8 GHz, 24 Cores, LGA 1700) New in Open Box",324.99
Intel i9,19,NEW LISTINGIntel Core i9-13900K - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) 5.8 GHz,599.0
Intel i9,19,i9 Processor - i9-1090 0X LGA2066 - *PRICE DROP* 🔥🔥🔥,299.99
Intel i9,19,Intel Core i9-7900X （QS） 3.3Ghz 10Croe/20Thread LGA2066 Support X299 mainboard,83.16
Intel i9,19,Intel Core i9-9900K 8-Core Processor 3.6GHz /5.0GHz UHD Graphics 630 LGA1151 95W,229.97
Intel i9,19,"Intel Core i9-10900K Processor (3.7 GHz, 10 Cores, FCLGA1200) - BX8070110900K",142.5
Intel i9,19,Intel Core i9-10980XE SRGSG 3.00GHz 24.75MB 18-Core LGA2066 CPU Processor,399.99
Intel i9,19,Intel Core I9-11900K ES QV1K 3.40GHz 8 Cores 16MB LGA 1200 CPU Processor,165.0
Intel i9,19,"Intel Core i9-12900 ES QXQ3 Processor (4.6GHz, 16 Cores, LGA 1700) PLEASE READ",120.0
Intel i9,19,Intel Core QTB1 i9-10900es 2.5 GHz 65W LGA 1200 support H410 B460 Z490 H510 B560,123.0
Intel i9,19,Intel Core i9-9900K Processor LGA1151 CPU,259.0
Intel i9,19,"Intel i9-12900K, ASUS PRIME Z790-V AX MoBoard, 64GB G.Skill Ripjaws S5 DDR5 SET",624.95
Intel i9,19,Intel Core i9-14900KS Processor SP 110,950.0
Intel i9,19,CPU Processor Intel Core i9-13900T ES Q0PV QOPV 24 Cores 32 Threads 35W LGA 1700,292.57
Intel i9,19,Intel Core i9-10900 CPU | 2.80 - 5.2 GHz | 10-Core | 20 Thread | SRH8z | LGA1200,264.95
Intel i9,19,Intel Core X-Series i9-9920X LGA-2066 CPU Processor SREZ6 3.50GHz 12-Cores 19MB,230.0
Intel i9,19,Intel Core i9-13900KF Raptor Lake 24-Core (8P+16E) Unlocked Desktop CPU New,389.99
