TransactionID,PurchasedParts
1,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']"
2,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']"
3,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']"
4,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
5,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']"
6,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
7,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
8,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']"
9,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']"
10,"['Intel i5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']"
11,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
12,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']"
13,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']"
14,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']"
15,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
16,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']"
17,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
18,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
19,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
20,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
21,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
22,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']"
23,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
24,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']"
25,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
26,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
27,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
28,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
29,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
30,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
31,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
32,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
33,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
34,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
35,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']"
36,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
37,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']"
38,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
39,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']"
40,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
41,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']"
42,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
43,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
44,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']"
45,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
46,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Cooler Master 850W']"
47,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
48,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
49,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
50,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
51,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
52,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']"
53,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
54,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
55,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
56,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
57,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']"
58,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']"
59,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']"
60,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
61,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']"
62,"['Intel i7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
63,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
64,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']"
65,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
66,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']"
67,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
68,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Corsair 650W']"
69,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']"
70,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
71,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
72,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']"
73,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']"
74,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']"
75,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']"
76,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
77,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
78,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']"
79,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']"
80,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
81,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']"
82,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
83,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']"
84,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
85,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']"
86,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']"
87,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
88,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'EVGA 750W']"
89,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
90,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
91,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']"
92,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
93,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']"
94,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Cooler Master 850W']"
95,"['Intel i5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']"
96,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']"
97,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']"
98,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
99,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']"
100,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
101,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']"
102,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']"
103,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
104,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']"
105,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Corsair 650W']"
106,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']"
