TransactionID,PurchasedParts,Source,PC Part
1.0,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Corsair 650W']",,
2.0,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']",,
3.0,"['Intel i7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']",,
4.0,"['Intel i5', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
5.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
6.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']",,
7.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
8.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
9.0,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
10.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
11.0,"['Intel i5', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
12.0,"['Intel i5', 'AMD RX 6700 XT', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
13.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
14.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
15.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']",,
16.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
17.0,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
18.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'Cooler Master 850W']",,
19.0,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
20.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
21.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']",,
22.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
23.0,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'Gigabyte B450', 'EVGA 750W']",,
24.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'WD HDD 2TB', 'MSI X570', 'Cooler Master 850W']",,
25.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
26.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
27.0,"['Intel i5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']",,
28.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'Cooler Master 850W']",,
29.0,"['Intel i5', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
30.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
31.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
32.0,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']",,
33.0,"['AMD Ryzen 7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']",,
34.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'G.Skill 16GB', 'WD HDD 2TB', 'Gigabyte B450', 'Cooler Master 850W']",,
35.0,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
