Item,Model,Price,Source
CPU,AMD Ryzen 5 5500 6-Core 3.6GHz Socket AM4 65W CPU Desktop Processor,84.99,eBay
CPU,Intel Core i5-7500 SR335 3.40GHz Processor | Grade A,30.0,eBay
CPU,"Intel Core i5 Unlocked Processor, 13600K 13th Gen LGA1700",189.99,eBay
CPU,NEW LISTINGIntel i9 14900k Processor,320.0,eBay
CPU,"AMD Ryzen 7 7700 Processor CPU (Up to 5.3 GHz 8 Cores, LGA 1718/Socket AM5)",199.97,eBay
CPU,AMD Ryzen 7 5700X3D 3.0GHz 8 Core CPU 105W Socket AM4 Support B450 B350 X370,230.0,eBay
CPU,Intel Core I7-7700K 4.20GHz Quad-Core Desktop CPU Processor LGA1151 SR33A,79.99,eBay
CPU,Intel Core Ultra 9 Desktop Processor 285K - 24 cores (8 P-cores + 16 E-cores) an,619.99,eBay
CPU,Intel Core i7-14700K Unlocked Desktop Processor - Up to 5.6 GHz max clock speed,364.99,eBay
CPU,Intel Xeon Platinum 8461V ES Server CPU LGA4677 48Cores 3.5GHz Processor,130.0,eBay
CPU,AMD A10-7890K Quad-core CPU (4 Core) 4.10GHz CPU Processor,80.0,eBay
CPU,AMD Ryzen 7 5700X3D 8-Core 16-Thread 4.1GHz Socket AM4 CPU,259.99,eBay
CPU,"Open Box Intel Core i5-13600KF Processor (5.1 GHz, 14 Cores, LGA 1700) SRMBE",189.94,eBay
CPU,Intel Xeon Gold 6240 2.60GHz (SRF8X) J947J315,64.99,eBay
CPU,Intel Core i5-12400F 12th Gen Alder Lake 18MB Cache up to 4.40 GHz BX8071512400F,113.59,eBay
CPU,AMD RYZEN 7 9800X3D 8-Core 16-Thread Desktop Processor AM5 4.70GHz IN-HAND,537.99,eBay
CPU,Intel Core i5-10600KF 6 Cores 4.1 GHz LGA 1200 CPU Processor BX8070110600KF,109.99,eBay
CPU,AMD Ryzen 7 5700X R7-5700X 8-Core 16Thr 3.4GHz 65W Socket AM4 Support B450 A320,125.0,eBay
CPU,AMD Ryzen 7 5700X3D 8-Core 16-Thread AM4 105W CPU Processor 100-100001503WOF,274.99,eBay
CPU,Intel Core Ultra 7 Desktop Processor 265K - 20 cores (8 P-cores + 12 E-cores) an,424.99,eBay
